word,deprel,score
water,root,0.16252956962046172
water,pobj,0.042717717694984336
water,pobj,0.11349314651805975
baby,nn,0.14288125308927024
clock,dobj,0.022908996369515714
baby,root,0.3363524117768274
stove,amod,0.0072607789539626
stove,dobj,0.008092903748593507
stove,amod,0.05116260083177882
clock,root,0.11955265256921666
clock,pobj,0.14038668092805262
baby,nn,0.09268469816470903
baby,nn,0.4393048719122471
light,root,0.32422949286581915
light,nsubj,0.327841466784213
light,root,0.19380800609456492
light,pobj,0.07912450415848338
water,pobj,0.04258214040828878
light,pobj,0.05803173929637018
water,pobj,0.04463206087087557
water,pobj,0.6134447887715427
water,pobj,0.2528044246545157
water,pobj,0.060315226704588665
water,pobj,0.021786236535828785
water,pobj,0.07994600955184061
baby,npadvmod,0.13136715530760726
water,nn,0.050668420581919005
water,pobj,0.04826611255641422
light,amod,0.1120906483731019
zebra,nsubj,0.8264139711200336
zebra,nn,0.7411730779275915
zebra,nsubj,0.5408448728262225
zebra,nsubj,0.7324295009202314
zebra,root,0.5336389413119087
zebra,pobj,0.4822860399152981
zebra,nn,0.7870281110407512
baby,nsubj,0.03293103695170263
zebra,conj,0.6453126895030392
zebra,root,0.6650703649535697
zebra,root,0.791547424615713
zebra,npadvmod,0.5812222645091782
water,pobj,0.01640905709364704
zebra,root,0.5598432120293847
zebra,nn,0.4658220579116358
water,pobj,0.07655760785743247
water,pobj,0.02324439983434301
light,nsubj,0.05590748821461278
baby,pobj,0.06044549503108044
light,conj,0.05155346228200364
clock,nn,0.08068183121763484
clock,root,0.4856555765982255
clock,nn,0.05362841859485712
clock,nn,0.1054741837558998
clock,rcmod,0.09863057834675713
clock,pobj,0.011171492607964906
clock,pobj,0.039194286571846426
clock,nn,0.15428095260269234
clock,nsubj,0.09773199050664548
clock,nsubjpass,0.08656151569586512
stove,pobj,0.3875863816533213
light,root,0.1309689692143311
light,root,0.10204250947851634
light,root,0.059949715016817014
light,pobj,0.026015115444865452
light,nsubj,0.16726269322096898
light,pobj,0.10328860453785572
water,pobj,0.06444897253670168
water,pobj,0.05341651460521112
water,pobj,0.032980548027673584
light,pobj,0.14016816396285736
light,pobj,0.034266598761325096
water,pobj,0.1406098025378688
water,pobj,0.17422513288386432
zebra,root,0.3206489529905455
zebra,root,0.2682675066063358
zebra,conj,0.2072203263389073
zebra,conj,0.163187862498963
zebra,root,0.3075205616470855
water,pobj,0.10843743452103873
water,pobj,0.2195360411029532
water,pobj,0.2562288920038491
water,pobj,0.1559447224113769
water,pobj,0.1576691103512804
water,pobj,0.305190313968154
water,pobj,0.4535722277834072
baby,nn,0.0031676892853290672
baby,nn,0.00811388286975634
water,pobj,0.016332019560318045
water,pobj,0.043095990777262894
water,pobj,0.08472616571225566
water,root,0.040911737147591436
water,dep,0.060369315893369024
water,pobj,0.0018849957707228746
zebra,nn,0.7043418804473773
water,conj,0.08593279223677651
water,nn,0.029788453122804318
water,pobj,0.1188513005046944
water,nn,0.5769137450522415
water,pobj,0.07812814085927865
water,pobj,0.03076406826410727
baby,root,0.4410074536145123
baby,root,0.09838040389567582
baby,nn,0.14892073918488224
stove,rcmod,0.059545562913540524
light,amod,0.011916220819635505
stove,nn,0.0071673517445787205
stove,pobj,0.03952801079684598
stove,pobj,0.05532098745204849
water,nn,0.014157816803404112
light,pobj,0.01963598972726344
light,pobj,0.1083543154487554
light,pobj,0.06295166719510603
light,dobj,0.08865925460576961
light,root,0.19904357038062412
clock,nn,0.05226301665909694
clock,pobj,0.014444969298221031
clock,pobj,0.17141389188525116
clock,pobj,0.21440878164759006
clock,pobj,0.15478092425482382
clock,nn,0.15370520725092196
water,pobj,0.11076059387042647
baby,conj,0.09789655453114232
water,pobj,0.012764562353669406
water,nn,0.015559433302636316
water,pobj,0.07303755381999065
water,pobj,0.0505273335730787
water,pobj,0.043218158985489856
light,dep,0.015555866169006172
water,pobj,0.025806944227529827
baby,dobj,0.1409789493727288
baby,pobj,0.16523372813796475
